#,Type,Name,Subtitle,Tier,Genre,Base,Flavor Text,Mecha Slot Passive,Size,Charges,Passive,Active,Ultimate
253,Accessory,4D Pocket,,2,Mecha,Agi +1,"Store your items in the 4th Dimension! It's all in the name, really.",,,,Hammerspace - This item possesses infinite extradimensional storage with a maximum opening equal to your size class,"Artistically Elastic - Bonus Action, 2PP - The pocket opening stretches up to 3x your size class until you add an item into it. Removing large items from the pouch doesn't require the use of this power.",Partial Inversion - Bonus Action - Any number of items stored in the pocket instantly appear in the nearest available spaces. 
254,Accessory,The Prank Book,,5,Comedy,Imag +4,"This arcane tome has been passed down for generations, and contains within it every joke, gag, and gaff that will ever be performed by mankind.",,,,"All Jokes are Good - Your background becomes: If you make a joke, a bad joke, or break the fourth wall, gain 2 PP","It's Just a Prank - Reaction, 5PP - At the end of your turn, you may declare it was all a prank. Take your turn again, but this consumes that turn's reaction","The Oldest Trick - Action - You invoke the Oldest Trick in the Book. A target in Line-of-Sight is Feared for the next day. This fear cannot be removed. While Feared, the target will attempt to leave combat if applicable. If this is Boss Resisted, the item is not discharged."
255,Accessory,Nullification Sheathe,Counter-actor Panacea,2,Mecha,Know +1,"From the outside, it looks like a plain black sheath, albiet glossier than one might expect. The inside, however, contains a nullification field that reduces all paracausal effects.",,,,"Empty Sheath - This item can go into your Genre Slot. While this is equipped, you may designate another equipped item. That item's Passive effect is replaced with ""[Nullified]""","Anti-Draw - Action, 2PP - Melee, Str/Agi, 0 Damage, inflict Sabotage 5 on hit","Inverted Field - Free Action - If you have an item with the [Nullified] passive, revert it to its original state and double the passive effect for a minute"
256,Accessory,Teru Teru Bōzu,Tissue-Paper Monk,3,Slice of Life,Inst +2,"These charms look like little ghost dolls, and ward away the rainy days. If you hung enough of these up, would it ever rain?",,,,"Morbid Origins - This item genre tag can be Slice of Life, Horror, or Art. If your genre matches this item, gain TR1 on Appeal checks.","Forecast - Free Action, 3PP - You determine the weather for the next 24 hours, within what's reasonable for the region","100-Year Storm - Action - The rain begins to pour. In an hour, water builds up in a 1 space deep flood with narrative heavy winds."
261,Accessory,Lofi Beats Playlist,,2,Slice of Life,Inst +1,"ISEKAI Field Training warns against playing music during an active operation, citing lowered situational awareness and distraction during mission-critical messages. However, agents can regularly be found in the field with music going into one ear and orders in the other.",,,,"To Infiltrate/Operate To - From sunset until dawn, gain TR1 on all out-of combat rolls","Stay Cool - Free Action, 2PP - Your next roll gains TR1","Party Playlist - Bonus Action - Until the end of your next turn, you and all allied characters make rolls with TR1"
262,Accessory,Flexible Art Style,What are the artists on?,3,Art,X +2,"ISEKAI researchers still aren't sure if it's an art style, a targeted fault in reality, or the meddling of an otherworldly power, but one thing is for sure: It's better than a disguise holo.",,,,"Ever-Changing - You can change your appearance at will, but you must still look humanoid. When this item is unequipped, you revert back to your original appearance.","Exaggerated Form - Free Action, 3PP - Your physique changes, yielding one of the following effects - 
Secretly Muscled - This item grants +2 Inst, and you gain Experienced with Reflexes
Extremely Muscled - This item grants +2 Str, and you gain Experienced with Athletics
Inflated - This item grants +2 End, and you gain Experienced with Moxie
Perfectly Average - This item grants +2 Know, and you gain Experienced with Magic
Extremely Overdefined - This item grants +2 Agi, and you gain Experienced with Stealth
Chibi-like - This item grants +2 Imag, and you gain Experienced with Appeal
This power remains in effect until another one is chosen.","Monstrosity - For one minute, gain every possible effect from Exaggerated Form, and gain the Art and Horror genre tags. At the end of the minute, this item is discharged."
263,Accessory,Codex Esoterica,,3,Art,Experienced +1,"This large tome has a clean white cover that only says ""Esoterica"" is gold lettering. The sheer amount of information within it is almost incomprehensible, but the contents seem either mundane, trivial, or for scenarios so specific that they'd hardly ever happen.",,,,"Tome of the Obscure - If a skill roll does not clearly fit within one of the ISEKAI skills, and your GM says that it's a weird/obscure ability, You may roll a combination of Know or Imag and one other ability, treating yourself as Experienced for the roll.","Consult the Codex - Free Action, 3PP - When you use Tome of the Obscure, instead roll a combination of Know or Imag and two non-Know or Imag, and gain TR 2 for the check.",Precognition - Free Action - Tome of the Obscure applies to any single non-combat roll.
264,Accessory,Virtual Avatar,,1,Art,Imag +1,ISEKAI HQ took note of the rise of anime-adjacent Virtual Personalities and decided to do a limited-run implementation of alternate Adaption Holos.,,,,"Virtual Avatar - The appearance of your Adaption Holo changes to be that of a non-existant anime character. When you enter a new show, roll a d6. On a 6, this appearance coincidentally is lore-friendly to the show","Beloved Icon - Free Action, 1PP - When rolling for a social interaction, roll with TR1","Rabbit Hole - Action - For the next hour, your appearance changes to be that of a non-existant anime character. This also applies to any target of your choice within Melee Radius 3, although no two characters can look the same."
265,Armor,Plogsuit,,2,Mecha,Armor Threshold 4,"This tight-fitting bodysuit pushes any felt stimuli directly to the pilot through direct nerve interfacing, allowing for unparalleled organic control and feedback",,,,"Subjectivity Sync - While you have a Mecha equipped, increase Speed by 2, and equipped Mecha don't reduce your Max PP","Aggression Feedback - Bonus Action, 2PP - Until the end of your next turn, your Ranged/Melee attacks gain Ranged/Melee Radius 1","Nerve Burnout - Free Action - Your PP is set to 20, and until the end of your next turn, you get an extra action on your turn. At the end of your next turn, you drop to 0 HP. This cannot be prevented in any way."
266,Armor,Goblinbane Plate Armor,,1,Action,Armor Threshold 3,Worn and chipped half-plate armor. It's enough to protect you from a few hits,,,,"Hatred of Goblins - The PP cost of Goblinbane items is reduced by 1, Against Goblins: Threshold 5","Simple but Secure - Reaction, 1PP - When attacked, increase Threshold by 1",Mighty Evasion - Reaction - Reduce an attack's number of rolled dice by End
311,Armor,Dark Swordsman's Duster,,2,Action,Armor Threshold 4,"This black duster is a replica of the one worn by the legendary Dark Swordsman, known for their dual-wielding. While a copy, it still imparts some of their combat prowess",,,,Dual Wielding - You can equip a weapon in your genre slot,"Combat Healing - Bonus Action, 2PP - Restore End hitpoints",Heroic Dodge - Reaction - Reduce the weapon damage of an attack by Agi
312,Armor,Pyonkichi Plate Armor,,3,Action,Armor Threshold 5,"This lightweight half-plate armor is designed to keep the wearer mobile, but can still take a blow",,,,"Lightweight - Your Speed increases by 2 spaces, you can move through enemies' spaces","Evasion Reflex - Reaction, 3PP - Reduce an attack's number of rolled dice by Inst and then move up to your Speed. This movement does not provoke reactions.","Instinctual Defense - Bonus Action - Until the end of your next turn, increase Threshold by Inst"
313,Armor,Tyrant-Cursed Plate Armor,,4,Action,Armor Threshold 6,"""So this thing's made out of some sort of big Kaiju-like monster?""
""Yup, a Tyrant.""
""And you're saying that it isn't dead?""
""Yup, the armor's alive.""
""Is this... safe?""",,,,Tyrant Flesh - Your weapon active powers cost 2 less PP,"Parasitic Adaptation - Reaction, 4PP - When attacked, increase Threshold by 4 and resist a debuff. Roll End vs attacker Tier, if 1 or fewer successes: Permanent Armor Threshold Reduction 1","Salamander Hide - Bonus Action - Invisibility for Inst turns, while invisible: +8d6 to attacks"
314,Armor,Golden Godplate,,5,Art,Armor Threshold 7,"""Kneel before me.""
This armor glimmers with the radiance of the sun. No blemish marrs its surface. It is perfect, a masterpiece, a paragon. It demands excellence, and nothing less.",,,,"Golden Rule - When using a weapon power, you may change the range to Ranged 10, against attacks and powers of 3rd tier or lower: Threshold 10","Heaven's Gate - Action, 5PP - Roll once on the Item table. You now have this item, and the active cost is 1. It disappears at the end of the day or your next rest.",King of Kings - Action -  Roll 3 times on the Item table. Use the Ultimates of the rolled items instantly
315,Armor,3-Star Council Regalia,,3,Comedy,Armor Threshold 5,An extraordinary uniform wielded by the upper eschelon of characters from a certain show. They're specifically customized for the wearer,,,,"30% Plot Fiber - Increase a stat by 2 and another by 1, While wearing this, gain the Student Council Member power from Slice of Life","Upper Crust - Free Action, 3PP - The next roll you make gains two of the following effects:
Inflict Backfire and Malfunctioning until the end of the target's next turn
Inflict Wound 5 and Madness until the end of the target's next turn
Add 6d6
TR1",Plot Limit Break - Bonus Action - Maximize all rolls you make until the start of your next turn
316,Armor,Armor of Infinite Layers,,4,Comedy,Armor Threshold 6,"""Man, If I weren't wearing so many layers right now, that could have been dangerous!""
""Dude, I'm pretty sure she just cut off your arm.""
""That's what I mean! That could have really hurt if I wasn't wearing so many layers!""",,,9,"Many Layers - When you are hit by an attack targeting only you, as a reaction you can spend a charge to make the attack miss you instead. However, on your next turn, you cannot only use your action and either your bonus action or move action.","More Layers - Bonus Action, 4PP - This item regains a charge. You may use this once for free when you take a rest.","Unavoidable Goodbye - Free Action - Your next attack gains Backfire, Radius 2, +20d6"
321,Armor,2-Star Fight Club Regaila,,2,Comedy,Armor Threshold 4,"This special uniform has a higher concentration of special fibers, increasing the wearer's overall performance",,,,20% Plot Fiber - Increase two stats by 1,"Fighting Spirit - Bonus Action, 2PP - Gain Fury until the end of your next turn",Superior Reflexts - Reaction - Add or Subtract 5 dice from a roll
322,Armor,1-Star Fighting Uniform,,1,Comedy,Armor Threshold 3,"This simple uniform is infused with special fibers that form a symbiotic relationship with the wearer, slightly boosting the wearer's physical attributes",,,,10% Plot Fiber - Increase a stat by 1,"Power Up - Bonus Action, 1PP - Gain Fury until the end of your turn",Heightened Reflexes - Reaction - Add or Subtract 2 dice from a roll
323,Armor,Kotatsu,,2,Slice of Life,Armor Threshold 4,"The Kotatsu, an infamous trap that seduces agents with warmth and comfort. Once an agent goes in, they often never want to leave, instead taking the heated table with them.",,,,"Stationary Warmth - You are permanently Slowed, you are immune to Ranged, Line-of-Sight, and Paralyzed effects while Slowed.","Radiating Aura - Action, 2PP - Melee Radius 1, inflict Snared and Backfire","Mandarin Oranges - Action - Melee Radius 3, clear all debuffs"
324,Armor,Blood Armor of Fafnir,,4,Action,Armor Threshold 6,The Dragon had hardened scales that would repel the spears and swords that opposed it. The armor it wore must be tougher then even those hardened scales.,,,30,"Dragon's Defense - against attacks of 2nd tier or lower: Threshold 9, you count as a Dragon while wearing this","Plot Essence 30 - Free Action - This armor contains 30 charges. Instead of using PP, you may spend up to 4 charges and restore the same amount of PP to yourself","Evil Dragon's Wrath - Cone X, add Xd6, where X is the remaining amount of charges"
325,Armor,Forlorn Mermaid Plate,Between the Waves and Sand,3,Thriller,Armor Threshold 5,"""And so the Mermaid wept, for she was no longer welcome in her world, and nothing remained for her upon the land.""",,,20,"Mermaid Tears - If your HP drops below 0, roll 1d6. If the dice roll is less than your End, you go to 1 HP. Until you rest, reduce your End by 1","Plot Essence 20 - Free Action - This armor contains 20 charges. Instead of using PP, you may spend up to 3 charges and restore the same amount of PP to yourself","Crashing Waves - Bonus Action - Until the end of your next turn, ignore all damage taken. All damage mitigated this way is taken at the end of your next turn"
326,Armor,Bright Yellow Poncho,,3,Horror,Armor Threshold 5,"""The rain was pouring down hard, but out in the middle of the street I saw a figure. I couldn't see them closely under that poncho they were wearing, but they sure gave me the heebie-jeebies. Something was up, and I didn't want to stick around to find out the details.""",,,,Shadowed Face - Your appearance doesn't give away your identity,"Bloody Poncho - Free Action, 3PP - After you defeat an enemy, gain Fury and Unstoppable for the rest of combat, and your next attack inflicts Fear","Mad Rush - Bonus Action - Until the end of this round, your speed and damage is doubled, your attacks inflict Fear, and you do not provoke reactions"
331,Armor,Martial Arts Gi,,2,Sports,Armor Threshold 4,"If you aren't wearing one of these, how will people know that you're a martial artist? Sometimes fighters will tear off the sleeves, or refrain from wearing the top.",,,,"Combo Hit -  When you make a melee attack, you can choose to instead attack twice, rolling half the dice, rounding down","Grappler - Bonus Action, 2PP - Grapple a target in melee range",Close Combat - Action - Make 3 Melee attacks
332,Armor,Animated Armor,,2,Horror,Armor Threshold 4,"Initially it looks like a normal set of armor, but it bears a terrible mundane curse: Life. But don't get too attached to it, agent. Remember, it's a tool, not a person.",,,,"Self-Propelled Shell - As an action, you can don or doff the armo. While doffed, it grants you a Threshold of 2. It takes its turn immediately after you, and it can move using your move speed, and attacks with a Str of 4 and 1 Damage.","Iron Maiden - Free Action, 2PP - If the armor is adjacent to a creature of its size class or smaller, it attempts to grapple it, with a Str of 4","Fragment - Action - Melee Radius 3 attack centered on the armor, add 2d6 and Wound 2"
333,Armor,Deranged Knight's Plate,,2,Horror,Armor Threshold 4,"Who is the one cursed, the armor, or the one wearing it? It's probably the armor, anyone wearing it has succumbed to madness, as unstoppable and destructive as a derailed train.",,,,"Maddening Strength - While you're affected by Madness, Malfunctioning, or Wound, attacks against you have TI1 and you gain DR 4","Beserker's Curse - Action, 2PP - Until the end of your next turn, gain Malfunctioning",Combat Rush- Bonus Action -  If under the effect of Maddening Strength: Attacks this turn gain +2 Damage and Inflict Malfunctioning
334,Armor,Football Pads,,1,Sports,Armor Threshold 3,Standard protective for playing the most American of sports,,,,Gridlock - Allies gain TR1 against targets you have grappled,"Tackle  - Action, 1PP - Move up to your move speed, Melee Str + number of spaces moved, Grapples on hit",Unstoppable Charge - gain Unstoppable until the end of combat
335,Armor,Black School Uniform,,2,Slice of Life,Armor Threshold 4,"For some reason, deliquents always have darker school unniforms. Huh.",,,,Equiptment Closet - Your Genre slot can hold a Sports Item,"Nail-Studded Bat - Free Action, 2PP - Your next Melee attack gains TR1 and Wound 3","Yurusanai - Reaction - When you would be reduced to 0 hp or below, gain Fury and Competitive until the end of your next turn and "
336,Armor,Maid Uniform,,2,Slice of Life,Armor Threshold 4,"What's not to love about a maid uniform? They come in so many types! There's the Classic, the Victorian, the French, the kind with a miniskirt, or a swimsuit, or the Chinese or Japanese styled ones, or the genre-crossing ones like Steampunk, Cyber, and Military maid uniforms!",,,,Hard Work - Add an automatic success to all Skill Checks,"Chance Meeting - Action, 2PP - When a non-hostile NPC is introduced for the first time, they happen to be an old acquaintance of yours.","I Saw It - Free Action - Were you out shopping and walked by? Doing some light cleaning and happened to gaze out the window? If an event happens, and it's plausible that you were there, you can declare that you were indeed present. The GM should let you know any information that you'd get from being there. If the GM rules that you wweren't there, the armor does not get depleted."
341,Armor,School Uniform,,1,Slice of Life,Armor Threshold 3,A standard school uniform that could be found in any school,,,,Student - +1 Know,"Smarts - 1PP, Free Action - Gain 2 Successes when making a skill check that involves Know, or 1 Success if it involves Imag",Late Day - Automatically Succeed a skill check or a save
342,Armor,Mights of the Mlood Platemail,,1,Action,Armor Threshold 3,The white and red armor of the Mights of the Mlood,,,,Floor Clearer - Gain 1 PP when you end combat that had an enemy with Boss Resists,"Respected - 1PP, Free Action - Gain 2 Successes when making a skill check with an NPC",Beacon of Hope - All party members regain your End HP
343,Armor,Magical Fuwa Fuwa Dress,,4,Subversion,Armor Threshold 6,"It's fluffy, pastel, and magical. Nothing better to wear for some wholesome brutal magical overkill of cartoony enemies. It'll be all smiles and giggles.",,,,"Magical Essence - Instead of using PP, you may instead take Wound equal to the amound of PP you substitute",Magical Overkill - 4PP - add 8d6  and TR1 to your next roll. Gain Unstoppable until the end of your next turn.,Magical Finale - Bonus Action - Your next attack's range is Melee Radius 20
344,Armor,Cursed Eyes of Chaos,May Confusion Spread,4,Horror,Armor Threshold 6,I SEE YOU I SEE YOU I SEE YOU I SEE YOU UNRAVEL UNRAVEL UNRAVEL,,,,Cursed Mark - Ranged effects with range 7 or greater can instead be Line-of-Sight,"Cursed Eye - Action, 4PP - Line-of-Sight, inflict Madness and Malfunctioning until the end of the target's next turn. ","Eyebite - Action - Inflict Madness Malfunctioning, and Fear on all targets of your choice in Line-of-Sight"
345,Armor,Mantle of the Supreme Beings,Grandmaster of the Great Tomb,5,Horror,Armor Threshold 7,It's said that the supreme beings have never faced defeat. Spread the name and might of the 41.,,,,"Might of 41 - The first time you equip each item in combat, it takes a free action instead of a bonus action. Your Genre Slot may hold any item type.","Super-Tier Magic - Free Action, 5PP - Gain one of the following effects. 
When using a damage-dealing power, add 10d6. 
When using a Threshold-Modifying power, increase that change by 3.","The Goal of all Life is Death - Action. In ten rounds; Radius 10, 100d6, Know or Imag Damage. This item is not depleted until the Ultimate triggers."
346,Armor,Santa Costume,,2,Romance,Armor Threshold 4,"A holiday classic, the Santa Outfit can be found in numerous variations, some having more coverage than others",,,,Warm Red and White - You don't suffer any side-effects of cold weather,"Give a Little Gift  - Bonus Action, 2PP - Range 3, heal 5HP or restore 2PP to the target",X-Mas Day Delivery - Action - All agents gain an item of their choice from the Gear Kit item list
351,Armor,Traveler's Riding Wear,,4,Slice of Life,Armor Threshold 6,"Rugged leathers, durable denims, and sturdy boots make up this fine set of road-ready apparel",,,,"Well Traveled - You are immune to Stunned, Slowed, Snared, and Grappled, and gain TR1 on Survival rolls","Traveler's Blessing - Free Action, 4PP - When travelling to a destination, you can chart a route that's either Faster than expected or Perfectly Safe, and you will not be attacked along the way",Uncanny Speed - Action - You plot a course to a landmark that you know of. It takes one day to reach this destination by this route.
352,Armor,Wasterlander's Leathers,,2,Action,Armor Threshold 4,Scavenged bits and bobs on top of sturdy travel gear,,,3,"Fully Covered - +1 Survival, TR1 on checks to conceal your identity","Survivalist - Free Action, 1PP - add 4d6 to a Survival check",Scavenged Armor - Reaction - This item has 3 charges. You may consume a charge instead of depleting this item. Charges reset on a rest. Gain DR 4 on an attack
353,Armor,Black-Tie Formal Attire,,3,Romance,Armor Threshold 5,"Nothing looks nicer than a well-tailored suit or a perfectly-cut dress. At the very least, it means that you mean business.",,,,Simply Striking - Appeal rolls gain TR2,"Slip of the Tongue - Free Action, 3PP - While talking to someone, they let slip some juicy gossip or classified information that they shouldn't have","Partied too Hard - You and your party black out, waking up in a random location with the benefit of Resting, and your GM adds a cost and a benefit, which can include the below:
Benefits: You gained an unlikely ally, You gain an Item that you didn't have, You wake up where you wanted to be
Costs: You lose an item of a lower tier than this item, You all lose half of your Gold, ISEKAI HQ is angered by something you did"
354,Armor,Swimsuit,,2,Romance,Armor Threshold 4,Swimsuits and anime go back almost as long as anime's been around. They come in a wide variety of styles.,,,,Aquatic Prowess - Treat being underwater as if you were on dry land and gain a Fly speed equal to double your Speed,"Nose Bleed - Free Action, 2PP - Inflict Slow and Wound 1 on a target as long as they're in Line-of-Sight",Slip Up - Bonus Action - Inflict Blind on all targets in Line-of-Sight until the end of their turns
355,Armor,Trenchcoat,,4,Thriller,Armor Threshold 6,"This doesn't need any flavor text, your actions will speak for it.",,,,Private Eye - All of your Search rolls are Maximized,"Stalk - Bonus Action, 4PP - When you're following someone, there's no chance for them to detect you, no rolls needed.","Supreme Sneak - Action - For the next hour, you are only detected if you want to be. Otherwise, you cannot be noticed"
356,Armor,Ahegao Hoodie,,1,Romance,Armor Threshold 3,...It's an acquired taste?,,,,Socially Innapropriate - Appeal rolls gain TI2,"Close-Up Details - Free Action, 1PP - Melee Radius 1, Inflict Blind and Fear","Realization - Reaction - When hit by a melee attack, inflict Backfire, Madness, and Fear on the attacker before they roll damage"
361,Armor,Way of the Void,,3,Sports,Armor Threshold 5,Close your eyes. Feel the darkness inside yourself. Make your enemies feel it.,,,,Toxic Body - You are immune to Blind and Backfire,"Whip Strike - Action, 3PP - Melee 3 Attack, TR2, Inflict Snared and Fear","Vaccuum Palm - Bonus Action - Until the end of your turn, your attacks permanently reduce your target's Threshold by 1"
362,Armor,Kakuka,,2,Horror,Armor Threshold 4,"""No cost is too great. If I need to sacrifice my humanity, then that's a only a small cost.""",,,,"Flesh Cost - When you are attacked, take 2 bonus damage","Corpse Collector - Bonus Action, 2PP -  Until the end of your next turn, take Inst damage at the end of your turn and increase your speed by Inst","Overdrive - Until the end of your next turn, gain Competitive"
363,Armor,Skyrigger's Harness,,2,Thriller,Armor Threshold 4,"""It's not the height I'm scared of, but the fall."" This canvas harness is covered in clips, rope, and pulleys, meant to clip onto the lifeline of a ship.",,,,Extra Pockets - You may equip an Accessory in your Weapon or Genre slot,"Retention Clip - Reaction, 2PP - When you are forcefully moved, you may return to the location you previously occupied",Buddy System - Free Action - You count as being Grappled by a target within 60ft
364,Armor,Over-Shoulder Captain's Regalia,,2,Action,Armor Threshold 4,"This over-sized jacket is perfect for wearing over one's shoulders, and the epaulets and tassles will keep you looking like the one in charge. Yes, there's sleeves, but that's beside the point!",,,,Commander's Stand - You cannot be moved by forced movement,"What’re Your Orders? - Bonus Action, 2PP - Allies within Know spaces add your Inst to all rolls for a turn","Down with the Ship - Reaction - When you die, all allies regain your Inst or Know d6 HP"
365,Armor,Kinetic Ballistics Plate,,2,Mecha,Armor Threshold 4,This plate carrier carries ceramic plates that disperse energy when they break,,,3,"Replacable Ballistic Plates - This armor contains 3 charges. When attacked, you may spend a charge as a free action to gain DR 4 for the attack","Replace Plates - Bonus Action, 2PP - Regain a charge on Replacable Ballistic Plates. You cannot go above 3 charges.",Down But Not Out - Spend all your charges. You cannot die for as many charges as you spent 
366,Armor,B.U.R.N. Coveralls,,1,Thriller,Armor Threshold 5,"They don't want to watch a show.
They want to watch a show burn.",,,,Volatile Fuel Tanks - Your Ranged attacks instead become Cone attacks of the same range. Attack rolls of 1 against you count as successes.,"Heat-Resistant - Free Action, 1PP - When targeted by area effects (Anything other than Ranged, Line-of-Sight, Melee), increase armor Threshold by 2",Show-Ending Napalm - Free Action - Your next Cone attack inflicts Wound 5
411,Armor,Projection Plating,,3,Mecha,Armor Threshold 5,"""Ok ok so, you know how mechas are always throwing up those light barriers to block bullets and missiles and stuff? Well, what if we could put that on a person?"" - Unknown scientist about to get a promotion",,,,"Deflect//Refract//Repulse Projectors - Whenever you you cause a Line, Cone, or Area effect, you may instead choose a range of Radius 3","Quick-Project Dome - Reaction, 3PP - Whenever you're target by an effect originating 4 or more spaces away, gain DR End. Whenever a Line or Ranged effect would be drawn within 3 spaces of you, grant the triggering effect TI 2.","Shimmer Shield - Bonus Action - You throw down a Radius 3 dome that is impervious to damage for 3 rounds. The dome projects the image of its surroundings on it; characters inside the dome are Invisible to characters outside the dome. Characters can move outside the dome, but none can enter the dome without teleporting."
412,Armor,Sky-Raider Exo-Suit,,1,Mecha,Armor Threshold 3,A powered exo-suit that screws into the skeleton. Only the truly desperate would turn to this.,,,,Bone Screws - This armor can only be un-equipped if it is depleted.,"Desperation - Reaction, 1PP - Whenever you take damage, gain TR 2 and malfunctioning for the rest of the round.",Burst of Clarity - Bonus Action - Increase your move speed and threshold by 2 for one round
413,Melee Weapon,Argalian Lance,,1,Action,Str/Agi,"""Wait, but we don't have mounted rules in ISEKAI.""
""Nah, don't worry about it. Just give them the move speed of their mount.""
""But have you seen any horses around here?""",,,,Cumbersome Lance - If you're not mounted or your Str is less than 3: Threshold Increase 1,"Jouster's Prize - Action, 1PP - Attack, Wound 1, Slow","Well-Placed Hit - Action - Attack, add 5d6, against mounted foes: TR 2"
414,Melee 2 Weapon,Kokorotawari,Oddity Killer,2,Horror,Str/Know,"This unnaturally long odachi has a vaunted history of slaying Yokai, and is perfectly weighted, handling especially well when about to go in for the kill",,,,"Abberation Slayer - When fighting Horror creatures, you may reroll any damage dice once with this weapon","Sever Oddity - Action, 2PP - Attack, Wound 5","Heart Span - Action - Attack, Melee Radius 3, add 5d6, kills decapitate enemies"
415,Melee Weapon,Gáe Buidhe,Mortal's End: Crimson Reverie,3,Action,Inst/Str,"The cursed yellow spear inflicts wounds that may never heal, and those wounds still weep to this day",,,,"Eternal Cuts - When this weapon Wounds, reduce the target's maximum hitpoints by the amount of Wound damage dealt","Critical Cut - Action, 3PP - Attack, add 3d6, Wound 3","Return to Dust - Action - Attack, add 15d6, All damage dealt is instead applied as Wound"
416,Melee Weapon,Gáe Bolg,Barbed Red Javelin,4,Horror,Inst/Str,"The cursed red spear is said to never miss its target. It's covered in small barbs and throns that expand on contact with blood, a gristly affair",,,,Beastly Ferocity - Weapon powers and attacks gain Threshold Reduction 2,"Barbed Throw - Action, 4PP - Ranged 12 Attack, add 4d6, Wound 20","Causality-Reversing Throw - Action - Line-of-Sight Attack, add 8d6, TR 10, damage is also dealt as Wound for an equal amount"
421,Melee Weapon,Bottomless Bucket of Blades,Unlimited Budget Works,5,Art,Inst/Str,"The sheer costs of keeping a never-ending supply of blades stocked is enough to pay for, say, a vast IP with countless games, visual novels, shows, and movies!",,,6,"Nameless Blade - This item starts combat with 0 charges. You may spend a charge to add Damage Multiplier +3 to an attack. Your rolls gain TR1 for every Sword within Melee Radius 1. As a bonus action, you can spend 6 charges to override the battlefield with a neverending and uninteresting flat plane devoid of walls and terrain.","Distribution of Blades - Action, 5PP - Set your number of Charges to 6 and place a Sword in 6 unoccupied spaces within Melee Radius 3. If you've overridden the battlefield with Nameless Blade, place another 6 Swords within Melee Radius 6. Swords block Line of sight but not movement. ","Unstable Blades - Action - Make an attack, additionally targeting all characters within Melee Radius 1 of all Swords. Destroy every Sword you've placed, gaining Damage Multiplier +1 for every Sword destroyed. Afterwards, you become Downed at 0HP"
422,Melee Weapon,Occam's Razor,Keep it Simple,5,Thriller,Str/Agi,A narrative principle manifested into a powerful narrative-trimming tool,,,,"Extranarrative Extrusion - This weapon does not attack things directly, but iinstead damage their canonity. The GM may interpret that as they wish.","Keep it Simple - Free Action, 5PP - If the rest of the party agrees that a narrative is too complex, for example a character's motivation, the history of a place, an elaborate ruse, and you agree on a replacement that would be much simpler, that now becomes the canon",Simplicity - Free Action - Use Keep it Simple at no PP Cost
423,Melee Weapon,Excalibur,Paragon of Blades,5,Action,Str/Know,"In any category of things, there will always be a best and a worst. In terms of weapons, there is no competition, Excalibur stands at the top.",,,,"Holy Paragon - This sword is a symbol of divine authority, all appeal checks made by you have TR 4","Divine Construct - Action, 5PP - Line 10 Attack, add 5d6, TR 2","Sword of Promised Victory - Action - Line 20, add 13d6, TR 2"
424,Range 10 Weapon,Prelati's Spellbook,Text of the Sunken Spiral Castle,3,Horror,Know/Imag,"The book, bound in human flesh, contains the rantings and ravings of one who spent their life in madness. What can you gleam from its contents?",,,,Eldritch Bolt - Gain the Horror tag while using this weapon. You can choose which ability to use when affected by Madness.,"Twist Mind - Action, 3PP - Ranged 10 Attack, inflict Sickness or Madness, add 6d6","Eldritch Word - Action - Line-of-sight, Ranged Radius 3, inflict Slow and Madness, Permanent TR 3"
425,Melee Weapon,Sword of the Four Heroes,,2,Action,Str/Know,"The weapon of a distant land's hero, it's designed to shift and grow alongside them.",,,,"Cardinal Weapon - You may destroy another weapon in your inventory, replacing this item's Passive, Active, or Ultimate with the corresponding one of the destroyed item. ","Meteor Slash - Action, 2PP - Melee 2, up to 3 targets in range, add 4d6","Sword of Greed - Reaction - After you use a power to deal damage, you may triple the damage instead. The round after this is used, all of your powers and attacks miss"
426,Melee Weapon,Spear of the Four Heroes,,2,Action,Inst/Str,"The weapon of a distant land's hero, it's designed to shift and grow alongside them.",,,,"Cardinal Weapon - You may destroy another weapon in your inventory, replacing this item's Passive, Active, or Ultimate with the corresponding one of the destroyed item. ","Meteor Thrust - Action, 2PP - Melee 2, up to 3 targets in range, add 4d6","Spear of Lust - Reaction - Upon rolling a skill check, you may either roll Appeal instead of the skill required or double your Appeal for the check"
431,Range 12 Weapon,Bow of the Four Heroes,,2,Action,Agi/Know,"The weapon of a distant land's hero, it's designed to shift and grow alongside them.",,,,"Cardinal Weapon - You may destroy another weapon in your inventory, replacing this item's Passive, Active, or Ultimate with the corresponding one of the destroyed item. ","Meteor Shot - Action, 2PP - Ranged 24, up to 3 targets in range, add 2d6","Bow of Pride - Reaction - After rolling against a threshold, you may gain TR 2 and attempt the roll again and add 5d6"
432,Range 12 Weapon,Blooming Bow of Hope,,4,Art,Agi/Imag,"The bow looks like it's made of living wood. It's said that every time one of its flower buds bloom, someone finds salvation.",,,,"You Aren't Alone - As long as there's an allied character in Melee Radius 3, you and allies within this area gain Fury","Budding Arrows - Action, 4PP - Attack, add 8d6, this attack doesn't require you to see the target, as long as a valid path can be traced without traveling more than the weapon's range",Salvation's Sigil - Action - Range 3 Ranged Radius 20 Attack
